iter	Logloss
0	0.6374725352
1	0.5940800492
2	0.5573245762
3	0.526416042
4	0.5036202245
5	0.4848876102
6	0.4698214491
7	0.4593823822
8	0.4498041047
9	0.4423217267
10	0.436464749
11	0.4323884868
12	0.4288515356
13	0.4256772338
14	0.4235472567
15	0.4211616032
16	0.4192257244
17	0.4173420724
18	0.4163773652
19	0.4149938733
20	0.4142508806
21	0.4136450578
22	0.4129544396
23	0.4122720258
24	0.411861565
25	0.411361328
26	0.4108303329
27	0.4103745591
28	0.4100648327
29	0.4096392256
30	0.4092790638
31	0.4090213078
32	0.4087039552
33	0.4084716254
34	0.4082677392
35	0.4080435477
36	0.4077631664
37	0.4075394327
38	0.4074596184
39	0.4073912244
40	0.4071728884
41	0.4070409468
42	0.406820818
43	0.4067630693
44	0.406591732
45	0.4064511399
46	0.4064028265
47	0.4062896998
48	0.4061071121
49	0.4060494721
50	0.405905401
51	0.4057741518
52	0.4056570362
53	0.405542303
54	0.4054208413
55	0.4053632441
56	0.4052578076
57	0.4051544381
58	0.4049613984
59	0.4048957924
60	0.4048369196
61	0.4047989864
62	0.404721812
63	0.4045899935
64	0.4045061518
65	0.404319409
66	0.4041450808
67	0.4040607645
68	0.4040162426
69	0.4039239736
70	0.4038703011
71	0.4037621914
72	0.4036918066
73	0.4036527632
74	0.4035739193
75	0.4035346651
76	0.403457366
77	0.4033962825
78	0.4033171388
79	0.4032800524
80	0.4032079044
81	0.4031503646
82	0.403110735
83	0.4029906595
84	0.402877628
85	0.4028535813
86	0.4027762728
87	0.4027448678
88	0.402696402
89	0.4026310158
90	0.4025124323
91	0.4024833592
92	0.4024400481
93	0.4023922506
94	0.402334399
95	0.4022610107
96	0.4022226871
97	0.4021543307
98	0.4021337502
99	0.4020783398
